vendor_name_raw,spend_usd,department_final,category_final,suggestion_final,description_final,confidence,rationale_short,suspected_duplicates,rule_id,needs_llm
Inet Telecoms Ltd.,63.0,G&A,Telecom,Optimize costs,Telecommunications and internet services,High,Review contract and negotiate rates,,,True
Wolt Enterprises Oy,62.0,G&A,Travel & Expense,Consolidate,Food delivery platform for meals,High,Enforce T&E policy; use meal allowances,Pret A Manger;Axil Coffee Roasters;Wolt Enterprises Oy;Uber *Eats;Istra Wine;Pan-Pek D.O.O.;Cupcake Central (Life Is Sweet Bakery),,True
Platinum Office D.O.O.,62.0,Facilities,Coworking/Office,Optimize costs,Office services or supplies in Croatia,Medium,Consolidate with primary office vendor,,,True
Snappy Snaps,59.0,Marketing,Marketing/SEO/PR,Consolidate,Photo printing and processing services,Medium,Consolidate with other print vendors,Vistaprint;Snappy Snaps;Kall Kwik Centre 565,,True
New Block D.O.O.,56.0,G&A,General Ops,Terminate,Croatian business services provider,Low,Unclear business purpose; validate need,,,True
Cayman Islands Government,56.0,Legal,Legal Services,Optimize costs,Government registration or compliance fees,High,Mandatory regulatory payment; review structure,,,True
Officeworks,56.0,G&A,General Ops,Optimize costs,Office supplies and stationery retailer,High,Consolidate with primary supplier; negotiate rates,,,True
Click Send Pty Ltd,55.0,Engineering,Productivity/Collab,Optimize costs,SMS and communication API platform,High,Review usage and alternative providers,,,True
Kall Kwik Centre 565,55.0,G&A,General Ops,Consolidate,Printing and copy shop services,Medium,Consolidate with other print vendors,Vistaprint;Snappy Snaps;Kall Kwik Centre 565,,True
Shilton Hospitality Llp,55.0,G&A,Travel & Expense,Optimize costs,Hospitality or catering services,Medium,Review expense policy and alternatives,,,True
Axosoft Gitkraken,54.0,Engineering,Productivity/Collab,Optimize costs,Git client and version control tool,High,Review license count and utilization,,,True
Istra Wine,53.0,G&A,Travel & Expense,Consolidate,Wine retailer for gifts or events,Medium,Consolidate meal and beverage expenses,Pret A Manger;Axil Coffee Roasters;Wolt Enterprises Oy;Uber *Eats;Istra Wine;Pan-Pek D.O.O.;Cupcake Central (Life Is Sweet Bakery),,True
Gophr,52.0,G&A,General Ops,Consolidate,On-demand courier and delivery service,Medium,Consolidate with primary courier vendors,Dhl Express (Uk) Ltd;Fedex Express Uk Transportation Ltd;Gophr,,True
Pan-Pek D.O.O.,50.0,G&A,Travel & Expense,Consolidate,Croatian bakery or food supplier,Low,Consolidate meal expenses; enforce policy,Pret A Manger;Axil Coffee Roasters;Wolt Enterprises Oy;Uber *Eats;Istra Wine;Pan-Pek D.O.O.;Cupcake Central (Life Is Sweet Bakery),,True
Uber *Eats,50.0,G&A,Travel & Expense,Consolidate,Food delivery platform for meals,High,Enforce T&E policy; use meal allowances,Pret A Manger;Axil Coffee Roasters;Wolt Enterprises Oy;Uber *Eats;Istra Wine;Pan-Pek D.O.O.;Cupcake Central (Life Is Sweet Bakery),,True
Fedex Express Uk Transportation Ltd,47.0,G&A,General Ops,Consolidate,International courier and shipping services,High,Consolidate with primary courier vendor,Dhl Express (Uk) Ltd;Fedex Express Uk Transportation Ltd;Gophr,,True
Garden City D.O.O.,45.0,G&A,General Ops,Terminate,Croatian facilities or retail services,Low,Unclear business type; validate necessity,,,True
Livingstone,41.0,Professional Services,Professional Services,Terminate,Consulting or recruitment services,Low,Vague vendor; unclear value proposition,,,True
Ekupi D.O.O.,40.0,G&A,General Ops,Optimize costs,Croatian retail chain for supplies,Medium,Consolidate with primary supplier,,,True
Farmacia - Specijalizirana Prodavaonica D.O.O.,36.0,G&A,General Ops,Optimize costs,Croatian pharmacy for employee needs,Medium,Review employee healthcare benefits plan,,,True
Cupcake Central (Life Is Sweet Bakery),35.0,G&A,Travel & Expense,Consolidate,Bakery for events or catering,Medium,Consolidate meal expenses; one-time vendor,Pret A Manger;Axil Coffee Roasters;Wolt Enterprises Oy;Uber *Eats;Istra Wine;Pan-Pek D.O.O.;Cupcake Central (Life Is Sweet Bakery),,True
Post Office Ltd,32.0,G&A,General Ops,Optimize costs,Postal and mailing services,High,Essential service; consolidate with courier vendors,,,True
Currys Pc World,30.0,Engineering,Security/IT Ops,Consolidate,UK electronics retailer for IT equipment and accessories,High,Well-known UK electronics retailer; minor one-time spend,,,True
Brodomerkur D.D.,29.0,Facilities,General Ops,Consolidate,Croatian hardware and industrial supplies retailer,Medium,Hardware supplies vendor; consider consolidating with other facilities vendors,,,True
Sport Vision D.O.O.,26.0,G&A,General Ops,Terminate,Sports equipment and apparel retail store,Medium,Sports retail appears discretionary; review ongoing necessity,,,True
Harissa D.O.O.,21.0,G&A,General Ops,Terminate,Croatian vendor with unclear business purpose,Low,Unclear business purpose; requires stakeholder validation,,,True
Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos,20.0,G&A,Professional Services,Consolidate,Occupational health and sports medicine medical practice,High,Occupational health compliance; consolidate with similar providers,Specijalisticka Ordinacija Medicine Rada Helena Blazic;Ustanova Za Medicinu Rada I Sporta Dr. Novacki,,True
Specijalisticka Ordinacija Medicine Rada Helena Blazic,20.0,G&A,Professional Services,Consolidate,Occupational health medical practice for employee compliance,High,Occupational health compliance; consolidate with similar providers,Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos;Ustanova Za Medicinu Rada I Sporta Dr. Novacki,,True
Ustanova Za Medicinu Rada I Sporta Dr. Novacki,20.0,G&A,Professional Services,Consolidate,Occupational and sports medicine institute for employees,High,Occupational health compliance; consolidate with similar providers,Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos;Specijalisticka Ordinacija Medicine Rada Helena Blazic,,True
M&S Simply Food,19.0,Facilities,General Ops,Optimize costs,Employee catering and food services,N/A,,,R030,False
Bakemono Bakers Melbourne,18.0,G&A,Travel & Expense,Terminate,Melbourne bakery for team meals or events,High,One-time food/catering purchase; enforce T&E policy,Coles,,True
Coles,18.0,G&A,Travel & Expense,Terminate,Australian supermarket chain for office supplies or food,High,Retail supermarket purchase; review procurement policy,Bakemono Bakers Melbourne,,True
